collected_at,stnCd,fcltNm,lineNm,stnNm,stnNo,crtrYmd,fcltSeNm,cusarThrghSeNm,nrsrmUtztnMth,stllAcsYn,doorItphnEn,itphnEn,nrspcLockEn,vstcdEn,hnstzYn,dprSwchbrdCnt,dprBoxEn,nrspttEn,spsofaEn,mpsofaEn,tableEn,wshstndEn,trmmtEn,hgmtEn,wthtEn,rfgrEn,mwovenEn,chlhtrEn,acEn,fanEn,htrEn,acnrEn,dspdprEn,tsEn,ptlEn,safiEn,lsEn,chwpEn,infntBedEn,nrsstlEn,nrsplwEn,nrslgtEn,bmbEn,mwovenosEn,portEn,drtbEn,sofaCnt,infntBedCnt,stnFlr,exitNo,utztnHr,operInstTelno,gateInoutSe,dtlPstn,FCAR,grndUdgdSe
2026-08-07 15:39,0325,수유실,3호선,옥수,335,,모유수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,N,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,1,1,F3,3,영업시간내,0261103351,내부,F3 고객안전실방면 게이트 옆,18.000000000,지상
2026-08-07 15:39,0329,수유실,3호선,고속터미널,339,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,Y,N,Y,1,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,2,1,B2,1,영업시간내,0261103391,내부,B2 9호선 환승게이트 옆,19.800000000,지하
2026-08-07 15:39,0332,수유실,3호선,양재,342,,가족수유실,단독,다수가족 공동사용,Y,Y,Y,N,N,Y,2,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,4,1,B1,"3, 4",영업시간내,0261103421,외부,"B1 ③,④방면 출구 옆",25.000000000,지하
2026-08-07 15:39,0334,수유실,3호선,도곡,344,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,Y,2,1,B2,"1, 2",영업시간내,0261103441,내부,B2 고객안전실  앞,26.200000000,지하
2026-08-07 15:39,0310,수유실,3호선,구파발,320,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,1,1,B1,1,영업시간내,0261103201,외부,B1 고객안전실  인접,9.800000000,지하
2026-08-07 15:39,0411,수유실,4호선,노원,411,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,2,0,2,2,영업시간내,2061104111,외부,2F 고객안전실  앞,48.000000000,지상
2026-08-07 15:39,0416,수유실,4호선,미아사거리,416,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,1,1,B1,"1, 6",영업시간내,0261104161,외부,B1 고객안전실 내부,13.000000000,지하
2026-08-07 15:39,0417,수유실,4호선,길음,417,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,Y,1,1,B1,5,영업시간내,0261104171,외부,B1 고객안전실  인접,17.000000000,지하
2026-08-07 15:39,0422,수유실,4호선,동대문역사문화공원,422,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,2,1,B1,"4, 8",영업시간내,0261104221,외부,B1 고객안전실  내부,28.000000000,지하
2026-08-07 15:39,0426,수유실,4호선,서울역,426,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,1,1,B1,"11,14",영업시간내,0261104261,외부,B1 여자화장실 인접,10.000000000,지하
2026-08-07 15:39,0430,수유실,4호선,이촌,430,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,2,0,B1,"2, 3",영업시간내,0261104301,내부,B1고객안전실  인접,10.000000000,지하
2026-08-07 15:39,0433,수유실,4호선,사당,433,,가족수유실,고객안전실경유,1인가족 단독사용,N,N,N,N,N,Y,1,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,2,1,B2,"9, 10, 11, 12",영업시간내,0261104331,내부,B2 고객안전실  내부,7.020000000,지하
2026-08-07 15:39,2513,수유실,5호선,김포공항,512,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B2,"2, 3",영업시간내,0263115121,외부,B2 고객안전실 내부,8.000000000,지하
2026-08-07 15:39,2517,수유실,5호선,우장산,516,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B1,"1, 2, 3, 4",영업시간내,0263115161,외부,B1 고객안전실 앞,11.800000000,지하
2026-08-07 15:39,2519,수유실,5호선,까치산,518,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B1,2,영업시간내,0263115181,내부,B1 고객안전실 인접,15.800000000,지하
2026-08-07 15:39,2521,수유실,5호선,목동,520,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B1,"3, 4, 5, 6",영업시간내,0263115201,내부,B1 고객안전실 내부,10.900000000,지하
2026-08-07 15:39,2524,수유실,5호선,영등포구청,523,,모유수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,1,0,B4,"6, 7",영업시간내,0263115231,외부,B4 고객안전실 내부,10.800000000,지하
2026-08-07 15:39,2526,수유실,5호선,신길,525,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B3,3,영업시간내,0263115251,내부,B3 고객안전실 내부,12.960000000,지하
2026-08-07 15:39,2527,수유실,5호선,여의도,526,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,1,0,B1,"1, 3, 5, 6",영업시간내,0263115261,외부,B1 대합실중앙 아이센터 내부,10.800000000,지하
2026-08-07 15:39,2528,수유실,5호선,여의나루,527,,가족수유실,단독,1인가족 단독사용,Y,Y,N,N,N,Y,1,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,1,0,B1,"2, 3",영업시간내,0263115271,외부,B1 대합실 러너스테이션 인접,17.550000000,지하
2026-08-07 15:39,2530,수유실,5호선,공덕,529,,가족수유실,단독,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,1,0,B1,7,영업시간내,0263115291,외부,B1 고객안전실 인접,14.000000000,지하
2026-08-07 15:39,2532,수유실,5호선,충정로,531,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B1,"7, 10",영업시간내,0263115311,외부,B1 고객안전실 내부,11.500000000,지하
