LINE,SBWY_STNS_OTSD_CD,SBWY_STNS_CD,SBWY_STNS_NM,UPLN_DNLN,PLF_PSTN,TRN_PLF_INTVL,HGT_DIFF,PLF_LNR,collected_at
5호선,535,2536,을지로4가,상선,본선 방화 방면 2-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 2-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 2-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 3-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 3-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 3-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 3-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 4-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 4-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 4-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 4-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 5-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 5-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 5-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 5-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 6-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 6-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 6-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 6-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 7-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 7-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 7-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 7-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 8-1,좁음,보통,직선,2026-08-07 15:39
