are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,start_point,end_point,path_label
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,1,1번 출입구,양주 방면,1번 출입구 → 양주 방면
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,2,2번 출입구,양주 방면,2번 출입구 → 양주 방면
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,3,1번 출입구,가능 방면,1번 출입구 → 가능 방면
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,4,2번 출입구,가능 방면,2번 출입구 → 가능 방면
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,1,1번 출입구,녹양 방면,1번 출입구 → 녹양 방면
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,2,2번 출입구,녹양 방면,2번 출입구 → 녹양 방면
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,3,3번 출입구,녹양 방면,3번 출입구 → 녹양 방면
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,4,1번 출입구,의정부 방면,1번 출입구 → 의정부 방면
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,5,2번 출입구,의정부 방면,2번 출입구 → 의정부 방면
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,6,3번 출입구,의정부 방면,3번 출입구 → 의정부 방면
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,1,1번 출입구 옆 엘리베이터,가능 방면 승강장,1번 출입구 옆 엘리베이터 → 가능 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,2,1번 출입구 옆 엘리베이터,회룡 방면 승강장,1번 출입구 옆 엘리베이터 → 회룡 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,3,3번 출입구 옆 엘리베이터,가능 방면 승강장,3번 출입구 옆 엘리베이터 → 가능 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,4,3번 출입구 옆 엘리베이터,회룡 방면 승강장,3번 출입구 옆 엘리베이터 → 회룡 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,5,4번 출입구 옆 엘리베이터,가능 방면 승강장,4번 출입구 옆 엘리베이터 → 가능 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,6,4번 출입구 옆 엘리베이터,회룡 방면 승강장,4번 출입구 옆 엘리베이터 → 회룡 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,7,6번 출입구 옆 엘리베이터,가능 방면 승강장,6번 출입구 옆 엘리베이터 → 가능 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,8,6번 출입구 옆 엘리베이터,회룡 방면 승강장,6번 출입구 옆 엘리베이터 → 회룡 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,9,7번 출입구 옆 엘리베이터,가능 방면 승강장,7번 출입구 옆 엘리베이터 → 가능 방면 승강장
01,수도권,KR,1,1호선,0470,의정부,1,출입구-승강장,10,7번 출입구 옆 엘리베이터,회룡 방면 승강장,7번 출입구 옆 엘리베이터 → 회룡 방면 승강장
01,수도권,KR,1,1호선,0606,회룡,1,출입구-승강장,1,1번 출입구 옆 엘리베이터,의정부 방면,1번 출입구 옆 엘리베이터 → 의정부 방면
01,수도권,KR,1,1호선,0606,회룡,1,출입구-승강장,2,1번 출입구 옆 엘리베이터,망월사 방면,1번 출입구 옆 엘리베이터 → 망월사 방면
01,수도권,KR,1,1호선,0606,회룡,1,출입구-승강장,3,2번 출입구 옆 엘리베이터,의정부 방면,2번 출입구 옆 엘리베이터 → 의정부 방면
01,수도권,KR,1,1호선,0606,회룡,1,출입구-승강장,4,2번 출입구 옆 엘리베이터,망월사 방면,2번 출입구 옆 엘리베이터 → 망월사 방면
01,수도권,KR,1,1호선,0606,회룡,1,출입구-승강장,5,3번 출입구 옆 엘리베이터,의정부 방면,3번 출입구 옆 엘리베이터 → 의정부 방면
01,수도권,KR,1,1호선,0606,회룡,1,출입구-승강장,6,3번 출입구 옆 엘리베이터,망월사 방면,3번 출입구 옆 엘리베이터 → 망월사 방면
01,수도권,KR,1,1호선,0606,회룡,1,출입구-승강장,7,5번 출입구 옆 엘리베이터,의정부 방면,5번 출입구 옆 엘리베이터 → 의정부 방면
01,수도권,KR,1,1호선,0606,회룡,1,출입구-승강장,8,5번 출입구 옆 엘리베이터,망월사 방면,5번 출입구 옆 엘리베이터 → 망월사 방면
