are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,line_order,stin_cons_ordr,prev_rail_opr_istt_cd,prev_ln_cd,prev_prpr_stin_cd,prev_stin_nm,next_rail_opr_istt_cd,next_ln_cd,next_prpr_stin_cd,next_stin_nm,has_platform_info,has_facility_info,has_move_path_info
01,수도권,KR,1,1호선,0249,부평,56,56,KR,1,0244,부개,KR,1,0226,백운,True,True,True
01,수도권,KR,1,1호선,0226,백운,57,57,KR,1,0249,부평,KR,1,0164,동암,True,True,True
01,수도권,KR,1,1호선,0164,동암,58,58,KR,1,0226,백운,KR,1,0013,간석,True,True,True
01,수도권,KR,1,1호선,0013,간석,59,59,KR,1,0164,동암,KR,1,0519,주안,True,True,True
01,수도권,KR,1,1호선,0519,주안,60,60,KR,1,0013,간석,KR,1,0149,도화,True,True,True
01,수도권,KR,1,1호선,0149,도화,61,61,KR,1,0519,주안,KR,1,0513,제물포,True,True,True
01,수도권,KR,1,1호선,0513,제물포,62,62,KR,1,0149,도화,KR,1,0148,도원,True,True,True
01,수도권,KR,1,1호선,0148,도원,63,63,KR,1,0513,제물포,KR,1,0166,동인천,True,True,True
01,수도권,KR,1,1호선,0166,동인천,64,64,KR,1,0148,도원,KR,1,0481,인천,True,True,True
01,수도권,KR,1,1호선,0481,인천,65,65,KR,1,0166,동인천,,,,,True,True,True
01,수도권,KR,1,1호선,0004,가산디지털단지,66,46,KR,1,0069,구로,KR,1,0152,독산,True,True,True
01,수도권,KR,1,1호선,0152,독산,67,47,KR,1,0004,가산디지털단지,KR,1,0091,금천구청,True,True,True
01,수도권,KR,1,1호선,0091,금천구청,68,48,KR,1,0152,독산,KR,1,0063,광명,True,True,True
01,수도권,KR,1,1호선,0063,광명,69,49,KR,1,0091,금천구청,,,,,True,True,True
01,수도권,KR,1,1호선,0303,석수,70,49,KR,1,0091,금천구청,KR,1,0059,관악,True,True,True
01,수도권,KR,1,1호선,0059,관악,71,50,KR,1,0303,석수,KR,1,0390,안양,True,True,True
01,수도권,KR,1,1호선,0390,안양,72,51,KR,1,0059,관악,KR,1,0200,명학,True,True,True
01,수도권,KR,1,1호선,0200,명학,73,52,KR,1,0390,안양,KR,1,0090,금정,True,True,True
01,수도권,KR,1,1호선,0090,금정,74,53,KR,1,0200,명학,KR,1,0083,군포,True,True,True
01,수도권,KR,1,1호선,0083,군포,75,54,KR,1,0090,금정,KR,1,0127,당정,True,True,True
01,수도권,KR,1,1호선,0127,당정,76,55,KR,1,0083,군포,KR,1,0469,의왕,True,True,True
01,수도권,KR,1,1호선,0469,의왕,77,56,KR,1,0127,당정,KR,1,0312,성균관대,True,True,True
01,수도권,KR,1,1호선,0312,성균관대,78,57,KR,1,0469,의왕,KR,1,0601,화서,True,True,True
01,수도권,KR,1,1호선,0601,화서,79,58,KR,1,0312,성균관대,KR,1,0338,수원,True,True,True
01,수도권,KR,1,1호선,0338,수원,80,59,KR,1,0601,화서,KR,1,0318,세류,True,True,True
01,수도권,KR,1,1호선,0318,세류,81,60,KR,1,0338,수원,KR,1,0231,병점,True,True,True
01,수도권,KR,1,1호선,0231,병점,82,61,KR,1,0318,세류,KR,1,0290,서동탄,True,True,True
01,수도권,KR,1,1호선,0290,서동탄,83,62,KR,1,0231,병점,,,,,True,True,True
01,수도권,KR,1,1호선,0319,세마,84,62,KR,1,0231,병점,KR,1,0432,오산대,True,True,True
01,수도권,KR,1,1호선,0432,오산대,85,63,KR,1,0319,세마,KR,1,0431,오산,True,True,True
01,수도권,KR,1,1호선,0431,오산,86,64,KR,1,0432,오산대,KR,1,0540,진위,True,True,True
01,수도권,KR,1,1호선,0540,진위,87,65,KR,1,0431,오산,KR,1,0331,송탄,True,True,True
01,수도권,KR,1,1호선,0331,송탄,88,66,KR,1,0540,진위,KR,1,0297,서정리,True,True,True
01,수도권,KR,1,1호선,0297,서정리,89,67,KR,1,0331,송탄,KR,1,0535,평택지제,True,True,True
01,수도권,KR,1,1호선,0535,평택지제,90,68,KR,1,0297,서정리,KR,1,0579,평택,True,True,True
01,수도권,KR,1,1호선,0579,평택,91,69,KR,1,0535,평택지제,KR,1,0317,성환,True,True,True
01,수도권,KR,1,1호선,0317,성환,92,70,KR,1,0579,평택,KR,1,0539,직산,True,True,True
01,수도권,KR,1,1호선,0539,직산,93,71,KR,1,0317,성환,KR,1,0170,두정,True,True,True
01,수도권,KR,1,1호선,0170,두정,94,72,KR,1,0539,직산,KR,1,0544,천안,True,True,True
01,수도권,KR,1,1호선,0544,천안,95,73,KR,1,0170,두정,KR,1,0240,봉명,True,True,True
01,수도권,KR,1,1호선,0240,봉명,96,74,KR,1,0544,천안,KR,1,0381,쌍용,True,True,True
01,수도권,KR,1,1호선,0381,쌍용,97,75,KR,1,0240,봉명,KR,1,0382,아산,True,True,True
01,수도권,KR,1,1호선,0382,아산,98,76,KR,1,0381,쌍용,KR,1,1356,탕정,True,True,True
01,수도권,KR,1,1호선,1356,탕정,99,77,KR,1,0382,아산,KR,1,0222,배방,False,True,True
01,수도권,KR,1,1호선,0222,배방,100,78,KR,1,1356,탕정,KR,1,0437,온양온천,True,True,True
01,수도권,KR,1,1호선,0437,온양온천,101,79,KR,1,0222,배방,KR,1,0375,신창,True,True,True
01,수도권,KR,1,1호선,0375,신창,102,80,KR,1,0437,온양온천,,,,,True,True,True
01,수도권,S1,2,2호선,0347,시청,1,1,,,,,S1,2,0564,충정로,True,True,True
01,수도권,S1,2,2호선,0564,충정로,2,2,S1,2,0347,시청,S1,2,0386,아현,True,True,True
01,수도권,S1,2,2호선,0386,아현,3,3,S1,2,0564,충정로,S1,2,0473,이대,True,True,True
01,수도권,S1,2,2호선,0473,이대,4,4,S1,2,0386,아현,S1,2,0366,신촌,True,True,True
01,수도권,S1,2,2호선,0366,신촌,5,5,S1,2,0473,이대,S1,2,0596,홍대입구,True,True,True
01,수도권,S1,2,2호선,0596,홍대입구,6,6,S1,2,0366,신촌,S1,2,0591,합정,True,True,True
01,수도권,S1,2,2호선,0591,합정,7,7,S1,2,0596,홍대입구,S1,2,0126,당산,True,True,True
01,수도권,S1,2,2호선,0126,당산,8,8,S1,2,0591,합정,S1,2,0421,영등포구청,True,True,True
01,수도권,S1,2,2호선,0421,영등포구청,9,9,S1,2,0126,당산,S1,2,0206,문래,True,True,True
01,수도권,S1,2,2호선,0206,문래,10,10,S1,2,0421,영등포구청,S1,2,0359,신도림,True,True,True
01,수도권,S1,2,2호선,0359,신도림,11,11,,,,,S1,2,0144,도림천,True,True,True
01,수도권,S1,2,2호선,0130,대림,12,12,S1,2,0359,신도림,S1,2,0070,구로디지털단지,True,True,True
01,수도권,S1,2,2호선,0070,구로디지털단지,13,13,S1,2,0130,대림,S1,2,0357,신대방,True,True,True
01,수도권,S1,2,2호선,0357,신대방,14,14,S1,2,0070,구로디지털단지,S1,2,0361,신림,True,True,True
01,수도권,S1,2,2호선,0361,신림,15,15,S1,2,0357,신대방,S1,2,0242,봉천,True,True,True
01,수도권,S1,2,2호선,0242,봉천,16,16,S1,2,0361,신림,S1,2,0294,서울대입구,True,True,True
01,수도권,S1,2,2호선,0294,서울대입구,17,17,S1,2,0242,봉천,S1,2,0102,낙성대,True,True,True
01,수도권,S1,2,2호선,0102,낙성대,18,18,S1,2,0294,서울대입구,S1,2,0257,사당,True,True,True
01,수도권,S1,2,2호선,0257,사당,19,19,S1,2,0102,낙성대,S1,2,0218,방배,True,True,True
01,수도권,S1,2,2호선,0218,방배,20,20,S1,2,0257,사당,S1,2,0298,서초,True,True,True
01,수도권,S1,2,2호선,0298,서초,21,21,S1,2,0218,방배,S1,2,0068,교대,True,True,True
01,수도권,S1,2,2호선,0068,교대,22,22,S1,2,0298,서초,S1,2,0017,강남,True,True,True
01,수도권,S1,2,2호선,0017,강남,23,23,S1,2,0068,교대,S1,2,0415,역삼,True,True,True
01,수도권,S1,2,2호선,0415,역삼,24,24,S1,2,0017,강남,S1,2,0306,선릉,True,True,True
01,수도권,S1,2,2호선,0306,선릉,25,25,S1,2,0415,역삼,S1,2,0266,삼성,True,True,True
01,수도권,S1,2,2호선,0266,삼성,26,26,S1,2,0306,선릉,S1,2,0518,종합운동장,True,True,True
01,수도권,S1,2,2호선,0518,종합운동장,27,27,S1,2,0266,삼성,S1,2,0499,잠실새내,True,True,True
01,수도권,S1,2,2호선,0499,잠실새내,28,28,S1,2,0518,종합운동장,S1,2,0497,잠실,True,True,True
01,수도권,S1,2,2호선,0497,잠실,29,29,S1,2,0499,잠실새내,S1,2,0498,잠실나루,True,True,True
01,수도권,S1,2,2호선,0498,잠실나루,30,30,S1,2,0497,잠실,S1,2,0023,강변,True,True,True
01,수도권,S1,2,2호선,0023,강변,31,31,S1,2,0498,잠실나루,S1,2,0076,구의,True,True,True
01,수도권,S1,2,2호선,0076,구의,32,32,S1,2,0023,강변,S1,2,0031,건대입구,True,True,True
