are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,grnd_dv_cd,grnd_dv_nm,stin_flor,floor_label,seq
01,수도권,KR,1,1호선,0447,용산,1,지상,3,지상 3층,3
01,수도권,KR,1,1호선,0447,용산,1,지상,4,지상 4층,4
01,수도권,KR,1,1호선,0114,노량진,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0114,노량진,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0114,노량진,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0132,대방,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0132,대방,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0351,신길,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0351,신길,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0420,영등포,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0420,영등포,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0420,영등포,1,지상,3,지상 3층,3
01,수도권,KR,1,1호선,0359,신도림,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0359,신도림,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0359,신도림,1,지상,3,지상 3층,3
01,수도권,KR,1,1호선,0359,신도림,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0359,신도림,2,지하,2,지하 2층,2
01,수도권,KR,1,1호선,0069,구로,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0069,구로,1,지상,3,지상 3층,2
01,수도권,KR,1,1호선,0077,구일,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0077,구일,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0026,개봉,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0026,개봉,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0427,오류동,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0427,오류동,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0435,온수,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0435,온수,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0414,역곡,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0414,역곡,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0323,소사,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0323,소사,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0246,부천,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0246,부천,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0526,중동,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0526,중동,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0327,송내,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0327,송내,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0244,부개,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0244,부개,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0249,부평,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0249,부평,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0226,백운,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0226,백운,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0164,동암,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0164,동암,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0013,간석,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0013,간석,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0519,주안,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0519,주안,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0519,주안,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0149,도화,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0149,도화,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0513,제물포,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0513,제물포,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0148,도원,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0148,도원,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0166,동인천,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0166,동인천,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0481,인천,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0481,인천,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0004,가산디지털단지,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0004,가산디지털단지,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0152,독산,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0152,독산,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0091,금천구청,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0091,금천구청,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0063,광명,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0063,광명,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0063,광명,2,지하,2,지하 2층,2
01,수도권,KR,1,1호선,0303,석수,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0303,석수,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0059,관악,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0059,관악,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0390,안양,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0390,안양,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0390,안양,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0200,명학,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0090,금정,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0090,금정,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0083,군포,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0127,당정,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0127,당정,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0469,의왕,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0469,의왕,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0312,성균관대,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0312,성균관대,1,지상,3,지상 3층,2
01,수도권,KR,1,1호선,0601,화서,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0338,수원,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0338,수원,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0318,세류,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0318,세류,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0231,병점,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0231,병점,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0290,서동탄,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0319,세마,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0319,세마,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0432,오산대,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0432,오산대,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0431,오산,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0431,오산,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0540,진위,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0540,진위,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0331,송탄,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0331,송탄,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0297,서정리,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0297,서정리,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0535,평택지제,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0535,평택지제,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0579,평택,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0579,평택,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0317,성환,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0317,성환,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0539,직산,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0170,두정,1,지상,2,지상 2층,1
01,수도권,KR,1,1호선,0544,천안,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0544,천안,1,지상,3,지상 3층,2
01,수도권,KR,1,1호선,0240,봉명,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0240,봉명,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0381,쌍용,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0381,쌍용,1,지상,2,지상 2층,2
