are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,facility_cd,facility_nm,grnd_dv_cd,grnd_dv_nm,stin_flor,floor_label,detail_location,trfc_weak_dv_cd,trfc_weak_dv_nm,ml_fml_dv_cd,ml_fml_dv_nm
01,수도권,KR,1,1호선,1368,청산,TOLT,장애인화장실(여),1,지상,1,지상 1층,1층 2번 출입구 방향,2,장애인,2,여
01,수도권,KR,1,1호선,1368,청산,INFO,고객센터,1,지상,1,지상 1층,"(1F) 1,2번 출입구 중간 게이트 옆",,,,
01,수도권,KR,1,1호선,1368,청산,LARM,수유실,1,지상,1,지상 1층,"(1F) 1,2번 출입구 발매기 옆",,,,
01,수도권,KR,1,1호선,0324,소요산,EV,일반승강기,1,지상,2,지상 2층,[1호기](1F)맞이방이동통로3-4출입문앞,,,,
01,수도권,KR,1,1호선,0324,소요산,EV,일반승강기,1,지상,1,지상 1층,[1호기](1F)맞이방이동통로3-4출입문앞,,,,
01,수도권,KR,1,1호선,0324,소요산,TOLT,일반화장실(남),1,지상,1,지상 1층,(1층) 표내는곳 좌측,1,일반,1,남
01,수도권,KR,1,1호선,0324,소요산,TOLT,일반화장실(여),1,지상,1,지상 1층,(1층) 표내는곳 좌측,1,일반,2,여
01,수도권,KR,1,1호선,0324,소요산,TOLT,장애인화장실(남),1,지상,1,지상 1층,(1층) 표내는곳 좌측,2,장애인,1,남
01,수도권,KR,1,1호선,0324,소요산,TOLT,장애인화장실(여),1,지상,1,지상 1층,(1층) 표내는곳 좌측,2,장애인,2,여
01,수도권,KR,1,1호선,0324,소요산,INFO,고객센터,1,지상,1,지상 1층,"1번출구, 게이트 앞",,,,
01,수도권,KR,1,1호선,0324,소요산,LARM,수유실,1,지상,1,지상 1층,(1F) 대합실 1번 출입구 방향,,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,3,지상 3층,[5호기](1F)2번출입구방향,,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,3,지상 3층,"[2호기](1F)1,2번승강장6-3",,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,3,지상 3층,"[3호기](1F)3,4번승강장5-3",,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,3,지상 3층,"[4호기](1F)저상홈7번,8번승강장중간",,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,3,지상 3층,[1호기](1F)1번출입구방향,,,,
01,수도권,KR,1,1호선,0158,동두천,TOLT,일반화장실(남),1,지상,3,지상 3층,3층 이동통로 → 1번출구 방향 중간,1,일반,1,남
01,수도권,KR,1,1호선,0158,동두천,TOLT,일반화장실(여),1,지상,3,지상 3층,3층 이동통로 → 1번출구 방향 중간,1,일반,2,여
01,수도권,KR,1,1호선,0158,동두천,TOLT,장애인화장실(남),1,지상,3,지상 3층,3층 이동통로 → 1번출구 방향 중간,2,장애인,1,남
01,수도권,KR,1,1호선,0158,동두천,TOLT,장애인화장실(여),1,지상,3,지상 3층,3층 이동통로 → 1번출구 방향 중간,2,장애인,2,여
01,수도권,KR,1,1호선,0158,동두천,INFO,고객센터,1,지상,3,지상 3층,(3F) 표 내는 곳 옆,,,,
01,수도권,KR,1,1호선,0158,동두천,LARM,수유실,1,지상,3,지상 3층,1번 출입구 방향 여자화장실 내 ,,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,2,지상 2층,[1호기](1F) 1번 출입구 방향,,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,2,지상 2층,"[2호기](1F) 1,2번 승강장 6-3 ",,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,2,지상 2층,"[3호기](1F) 3,4번 승강장 5-3 ",,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,2,지상 2층,"[4호기](1F) 저상홈 7번,8번 승강장 중간 ",,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,2,지상 2층,[5호기](1F) 2번 출입구 방향,,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,1,지상 1층,[1호기](1F)1번출입구방향,,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,1,지상 1층,"[2호기](1F)1,2번승강장6-3",,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,1,지상 1층,"[3호기](1F)3,4번승강장5-3",,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,1,지상 1층,[5호기](1F)2번출입구방향,,,,
01,수도권,KR,1,1호선,0158,동두천,EV,일반승강기,1,지상,1,지상 1층,"[4호기](1F)저상홈7번,8번승강장중간",,,,
01,수도권,KR,1,1호선,0235,보산,EV,일반승강기,1,지상,3,지상 3층,[2호기](1F)1번출입구앞(2F)맞이방통로앞(3F)소요산행승강장,,,,
01,수도권,KR,1,1호선,0235,보산,EV,일반승강기,1,지상,3,지상 3층,[1호기](1F)2번출입구앞(2F)맞이방화장실앞(3F)인천행승강장,,,,
01,수도권,KR,1,1호선,0235,보산,EV,일반승강기,1,지상,2,지상 2층,[1호기]1층 2번출입구 앞  2층맞이방 3층 인천행승강장,,,,
01,수도권,KR,1,1호선,0235,보산,EV,일반승강기,1,지상,2,지상 2층,[2호기]1층 1번출입구 앞 2층 맞이방 3층소요산행승강장,,,,
01,수도권,KR,1,1호선,0235,보산,TOLT,일반화장실(남),1,지상,2,지상 2층,2층 인천행E/V앞,1,일반,1,남
01,수도권,KR,1,1호선,0235,보산,TOLT,일반화장실(여),1,지상,2,지상 2층,2층 인천행E/V앞,1,일반,2,여
01,수도권,KR,1,1호선,0235,보산,TOLT,장애인화장실(남),1,지상,2,지상 2층,2층 인천행E/V앞,2,장애인,1,남
01,수도권,KR,1,1호선,0235,보산,TOLT,장애인화장실(여),1,지상,2,지상 2층,2층 인천행E/V앞,2,장애인,2,여
01,수도권,KR,1,1호선,0235,보산,INFO,고객센터,1,지상,2,지상 2층,(2F) 맞이방 내,,,,
01,수도권,KR,1,1호선,0235,보산,LARM,수유실,1,지상,2,지상 2층,(2F) 인천행 E/V앞,,,,
01,수도권,KR,1,1호선,0235,보산,EV,일반승강기,1,지상,1,지상 1층,[2호기](1F)1번출입구앞(2F)맞이방통로앞(3F)소요산행승강장,,,,
01,수도권,KR,1,1호선,0235,보산,EV,일반승강기,1,지상,1,지상 1층,[1호기](1F)2번출입구앞(2F)맞이방화장실앞(3F)인천행승강장,,,,
01,수도권,KR,1,1호선,0235,보산,ELEC,전동휠체어충전설비,1,지상,1,지상 1층,(1F) 2번 출입구 옆,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,EV,일반승강기,1,지상,3,지상 3층,[2호기](1F)4번출입구방향,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,EV,일반승강기,1,지상,3,지상 3층,[1호기](1F)4번출입구방향,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,EV,일반승강기,1,지상,2,지상 2층,[1호기](1F) 4번 출입구 방향,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,EV,일반승강기,1,지상,2,지상 2층,[2호기](1F) 4번 출입구 방향,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,TOLT,일반화장실(남),1,지상,2,지상 2층,(2F) 맞이방 물품보관함 옆,1,일반,1,남
01,수도권,KR,1,1호선,0159,동두천중앙,TOLT,일반화장실(여),1,지상,2,지상 2층,(2F) 맞이방 물품보관함 옆,1,일반,2,여
01,수도권,KR,1,1호선,0159,동두천중앙,TOLT,장애인화장실(남),1,지상,2,지상 2층,(2F) 맞이방 물품보관함 옆,2,장애인,1,남
01,수도권,KR,1,1호선,0159,동두천중앙,TOLT,장애인화장실(여),1,지상,2,지상 2층,(2F) 맞이방 물품보관함 옆,2,장애인,2,여
01,수도권,KR,1,1호선,0159,동두천중앙,INFO,고객센터,1,지상,2,지상 2층,(2F) 맞이방 자동발매기 옆,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,LARM,수유실,1,지상,2,지상 2층,(2F) 맞이방 보산방면 엘리베이터 앞,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,EV,일반승강기,1,지상,1,지상 1층,[2호기](1F)4번출입구방향,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,EV,일반승강기,1,지상,1,지상 1층,[1호기](1F)4번출입구방향,,,,
