are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,plf_no,plf_tp_nm,run_dir_tmn_stin_nm,next_stin_nm,screen_door,safety_footboard,platform_crossable,braille_block,braille_sign
01,수도권,S1,1,1호선,0347,시청,2,상대식,,서울역,●,●,●,×,×
01,수도권,S1,1,1호선,0296,서울역,1,섬식,,시청,●,●,●,×,×
01,수도권,S1,1,1호선,0296,서울역,2,섬식,,서울역,●,●,●,×,×
01,수도권,KR,1,1호선,0108,남영,1,섬식,,회기,●,×,●,×,×
01,수도권,KR,1,1호선,0108,남영,2,섬식,,용산,●,×,●,×,×
01,수도권,KR,1,1호선,0447,용산,1,섬식,,남영,●,●,●,×,×
01,수도권,KR,1,1호선,0447,용산,2,섬식,,노량진,●,●,●,×,×
01,수도권,KR,1,1호선,0114,노량진,1,상대식,,용산,×,●,●,×,×
01,수도권,KR,1,1호선,0114,노량진,2,상대식,,대방,×,●,●,×,×
01,수도권,KR,1,1호선,0132,대방,1,상대식,,노량진,●,●,●,×,×
01,수도권,KR,1,1호선,0132,대방,2,상대식,,신길,●,●,●,×,×
01,수도권,KR,1,1호선,0351,신길,1,상대식,,대방,×,●,●,×,×
01,수도권,KR,1,1호선,0351,신길,2,상대식,,영등포,×,●,●,×,×
01,수도권,KR,1,1호선,0420,영등포,1,상대식,,신길,●,●,●,×,×
01,수도권,KR,1,1호선,0420,영등포,2,상대식,,신도림,●,●,●,×,×
01,수도권,KR,1,1호선,0359,신도림,1,상대식,,영등포,●,●,●,×,×
01,수도권,KR,1,1호선,0359,신도림,2,상대식,,구로,●,●,●,×,×
01,수도권,KR,1,1호선,0069,구로,1,섬식,,신도림,●,●,●,×,×
01,수도권,KR,1,1호선,0069,구로,2,섬식,인천,구일·가산디지털단지,●,●,●,×,×
01,수도권,KR,1,1호선,0077,구일,1,상대식,,구로,●,●,●,×,×
01,수도권,KR,1,1호선,0077,구일,2,상대식,인천,개봉,●,●,●,×,×
01,수도권,KR,1,1호선,0026,개봉,1,섬식,연천,구일,●,●,●,×,×
01,수도권,KR,1,1호선,0026,개봉,2,섬식,인천,오류동,●,●,●,×,×
01,수도권,KR,1,1호선,0427,오류동,1,쌍섬식 (2폼 4선식),,개봉,×,●,●,×,×
01,수도권,KR,1,1호선,0427,오류동,2,쌍섬식 (2폼 4선식),,온수,×,●,●,×,×
01,수도권,KR,1,1호선,0435,온수,1,섬식,,오류동,●,●,●,×,×
01,수도권,KR,1,1호선,0435,온수,2,섬식,,역곡,●,●,●,×,×
01,수도권,KR,1,1호선,0414,역곡,1,섬식,,온수,●,●,●,×,×
01,수도권,KR,1,1호선,0414,역곡,2,섬식,,소사,●,●,●,×,×
01,수도권,KR,1,1호선,0323,소사,1,섬식,,역곡,●,●,●,×,×
01,수도권,KR,1,1호선,0323,소사,2,섬식,,부천,●,●,●,×,×
01,수도권,KR,1,1호선,0246,부천,1,섬식,,소사,●,●,●,×,×
01,수도권,KR,1,1호선,0246,부천,2,섬식,,중동,●,●,●,×,×
01,수도권,KR,1,1호선,0526,중동,1,섬식,,부천,●,●,●,×,×
01,수도권,KR,1,1호선,0526,중동,2,섬식,,송내,●,●,●,×,×
01,수도권,KR,1,1호선,0327,송내,1,섬식,,중동,●,●,●,×,×
01,수도권,KR,1,1호선,0327,송내,2,섬식,,부개,●,●,●,×,×
01,수도권,KR,1,1호선,0244,부개,1,섬식,,송내,●,●,●,×,×
01,수도권,KR,1,1호선,0244,부개,2,섬식,,부평,●,●,●,×,×
01,수도권,KR,1,1호선,0249,부평,1,섬식,,부개,●,●,●,×,×
01,수도권,KR,1,1호선,0249,부평,2,섬식,,백운,●,●,●,×,×
01,수도권,KR,1,1호선,0226,백운,1,섬식,,부평,×,●,●,×,×
01,수도권,KR,1,1호선,0226,백운,2,섬식,,동암,×,●,●,×,×
01,수도권,KR,1,1호선,0164,동암,1,섬식,,백운,●,●,●,×,×
01,수도권,KR,1,1호선,0164,동암,2,섬식,,간석,●,●,●,×,×
01,수도권,KR,1,1호선,0013,간석,1,섬식,연천,동암,●,×,●,×,×
01,수도권,KR,1,1호선,0013,간석,2,섬식,인천,주안,●,×,●,×,×
01,수도권,KR,1,1호선,0519,주안,1,,,간석,●,×,●,×,×
01,수도권,KR,1,1호선,0519,주안,2,,,도화,●,×,●,×,×
01,수도권,KR,1,1호선,0149,도화,1,,,주안,×,×,●,×,×
01,수도권,KR,1,1호선,0149,도화,2,,,제물포,×,×,●,×,×
01,수도권,KR,1,1호선,0513,제물포,1,,,도화,●,×,●,×,×
01,수도권,KR,1,1호선,0513,제물포,2,,,도원,●,×,●,×,×
01,수도권,KR,1,1호선,0148,도원,1,섬식,,제물포,×,●,●,×,×
01,수도권,KR,1,1호선,0148,도원,2,섬식,,동인천,×,●,●,×,×
01,수도권,KR,1,1호선,0166,동인천,1,쌍섬식 (2폼 4선식),,도원,●,×,●,×,×
01,수도권,KR,1,1호선,0166,동인천,2,쌍섬식 (2폼 4선식),,인천,●,×,●,×,×
01,수도권,KR,1,1호선,0481,인천,1,섬식,,동인천,×,●,●,×,×
01,수도권,KR,1,1호선,0481,인천,2,섬식,,인천,×,●,●,×,×
01,수도권,KR,1,1호선,0004,가산디지털단지,1,상대식,광운대,구로,●,×,●,×,×
01,수도권,KR,1,1호선,0004,가산디지털단지,2,상대식,신창,독산,●,×,●,×,×
01,수도권,KR,1,1호선,0152,독산,1,상대식,,가산디지털단지,●,●,●,×,×
01,수도권,KR,1,1호선,0152,독산,2,상대식,,금천구청,●,●,●,×,×
01,수도권,KR,1,1호선,0091,금천구청,1,쌍섬식 (2폼 4선식),,독산,×,●,●,×,×
01,수도권,KR,1,1호선,0091,금천구청,2,쌍섬식 (2폼 4선식),,광명·석수,×,●,●,×,×
01,수도권,KR,1,1호선,0063,광명,1,,영등포,금천구청,×,×,×,×,×
01,수도권,KR,1,1호선,0063,광명,2,,광명,광명,×,×,×,×,×
01,수도권,KR,1,1호선,0303,석수,1,섬식,,금천구청,●,●,●,×,×
01,수도권,KR,1,1호선,0303,석수,2,섬식,,관악,●,●,●,×,×
01,수도권,KR,1,1호선,0059,관악,1,섬식,,석수,●,●,●,×,×
01,수도권,KR,1,1호선,0059,관악,2,섬식,신창,안양,●,●,●,×,×
01,수도권,KR,1,1호선,0390,안양,1,섬식,,관악,●,●,●,×,×
01,수도권,KR,1,1호선,0390,안양,2,섬식,,명학,●,●,●,×,×
01,수도권,KR,1,1호선,0200,명학,1,섬식,,안양,●,●,●,×,×
01,수도권,KR,1,1호선,0200,명학,2,섬식,,금정,●,●,●,×,×
01,수도권,KR,1,1호선,0090,금정,1,섬식,,명학,●,●,●,×,×
01,수도권,KR,1,1호선,0090,금정,2,섬식,,군포,●,●,●,×,×
01,수도권,KR,1,1호선,0083,군포,1,섬식,,금정,×,●,●,×,×
01,수도권,KR,1,1호선,0083,군포,2,섬식,,당정,×,●,●,×,×
01,수도권,KR,1,1호선,0127,당정,1,상대식,,군포,×,●,●,×,×
01,수도권,KR,1,1호선,0127,당정,2,상대식,,의왕,×,●,●,×,×
01,수도권,KR,1,1호선,0469,의왕,1,섬식,,당정,×,●,●,×,×
01,수도권,KR,1,1호선,0469,의왕,2,섬식,,성균관대,×,●,●,×,×
01,수도권,KR,1,1호선,0312,성균관대,1,섬식,,의왕,×,●,●,×,×
01,수도권,KR,1,1호선,0312,성균관대,2,섬식,,화서,×,●,●,×,×
01,수도권,KR,1,1호선,0601,화서,1,상대식,,성균관대,×,●,●,×,×
01,수도권,KR,1,1호선,0601,화서,2,상대식,,수원,×,●,●,×,×
01,수도권,KR,1,1호선,0338,수원,1,섬식,,화서,●,●,●,×,×
01,수도권,KR,1,1호선,0338,수원,2,섬식,,세류,●,●,●,×,×
01,수도권,KR,1,1호선,0318,세류,1,상대식,,수원,×,●,●,×,×
01,수도권,KR,1,1호선,0318,세류,2,상대식,,병점,×,●,●,×,×
01,수도권,KR,1,1호선,0231,병점,1,섬식,,세류,●,●,●,×,×
01,수도권,KR,1,1호선,0231,병점,2,섬식,,서동탄·세마,●,●,●,×,×
01,수도권,KR,1,1호선,0290,서동탄,1,섬식,,병점,●,●,●,×,×
01,수도권,KR,1,1호선,0290,서동탄,2,섬식,,서동탄,●,●,●,×,×
01,수도권,KR,1,1호선,0319,세마,1,섬식,,병점,×,●,●,×,×
