are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,step_no,step_text
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,3,5,5) 승차 (휠체어칸)
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,4,1,1) 2번 출입구
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,4,2,2) 표 내는 곳 통과
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,4,3,3) 소요산 방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,4,4,4) 소요산 방면 지상2층 승강장
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,4,5,5) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,1,1,1) (1F) 1번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,1,2,2) 표 내는 곳 통과
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,1,3,3) 동두천 방면 승강장으로 이동
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,1,4,4) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,2,1,1) (1F) 1번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,2,2,2) 표 내는 곳 통과
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,2,3,3) 연천/인천 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,2,4,4) 동두천  방면승차 (휠체어칸)
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,1,1,1) (1F) 1번 출입구 옆 엘리베이터 탑승
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,1,2,2) (3F) 대합실로 이동
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,1,3,3) 표 내는 곳 통과
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,1,4,4) 소요산 방면 엘리베이터 탑승
