month,hour,factor
1,5,0.933562480124896
1,6,0.9340301317800098
1,7,0.9348351618487422
1,8,0.9745939217706022
1,9,0.9570996489822261
1,10,0.9358962730233154
1,11,0.9497702273505851
1,12,0.9625783095654777
1,13,0.9723147521667534
1,14,0.9750869901813058
1,15,0.9640056033892205
1,16,0.9431048456795231
1,17,0.9612930716684581
1,18,0.9984326695169503
1,19,0.9828291205196229
1,20,0.9523168189964186
1,21,0.94651581173624
1,22,0.9520218161420057
1,23,0.9588138537007781
1,24,0.9600392203336128
2,5,0.9342009288980316
2,6,0.935278058737313
2,7,0.9461454998521992
2,8,0.9836263705286221
2,9,0.9781940990000093
2,10,0.9732506433757221
2,11,0.9890005661404166
2,12,0.9975690411427486
2,13,1.0033346163298793
2,14,1.0079314337593097
2,15,0.9951158745522019
2,16,0.9709651993287913
2,17,0.9772966196592677
2,18,1.0106481958023072
2,19,1.0115380316609517
2,20,0.9836672521104558
2,21,0.9771400086162199
2,22,0.978532664020637
2,23,0.9875785110159817
2,24,0.9908176468216958
3,5,0.9840714259265185
3,6,0.9984296221537114
3,7,1.0440034430946292
3,8,1.0327391609677086
3,9,1.0275446583467835
3,10,1.0156986692581014
3,11,1.007573078102002
3,12,1.0007433216834534
3,13,1.0033821484556547
3,14,1.0070613995357272
3,15,1.0114138443886154
3,16,1.0173729763700312
3,17,1.006318931349532
3,18,1.0225390324018395
3,19,1.0311051499545778
3,20,1.0113829017088825
3,21,1.011856405944117
3,22,1.0144106404472795
3,23,1.0059582573280592
3,24,0.9760266128180829
4,5,1.012430271632914
4,6,1.0444092958117686
4,7,1.064409171233702
4,8,1.0496841922051956
4,9,1.0417564040376555
4,10,1.0255069327474953
4,11,1.009893033186962
4,12,1.007143615478484
4,13,1.0076528552185484
4,14,0.9993831310447183
4,15,1.0025165559597418
4,16,1.0044904993921715
4,17,1.0093355287250203
4,18,1.0267776881623274
4,19,1.0322227494208358
4,20,1.0259360471880539
4,21,1.029015038815633
4,22,1.0249178521825795
4,23,1.0206589062184932
4,24,1.0149864840117506
5,5,1.0344216576173522
5,6,1.0213490511216505
5,7,0.9921866075452722
5,8,0.9781838592381555
5,9,1.007427669176545
5,10,1.0304078474965321
5,11,1.0288525325328637
5,12,1.0301299974602898
5,13,1.0324303728731625
5,14,1.0249082193304526
5,15,1.0185663127518654
5,16,1.0143870982242116
5,17,0.9883209191382225
5,18,0.9719177602907229
5,19,0.9932769596650838
5,20,1.020057705712273
5,21,1.0318652253550924
5,22,1.0374216954185687
5,23,1.0530517808588256
5,24,1.0387969231843055
6,5,1.0626497538175603
6,6,1.0506508940185624
6,7,1.0322602439796986
6,8,1.0128614002854799
6,9,1.0099502380523435
6,10,1.0107077798872108
6,11,1.004520041757727
6,12,0.9964555066385121
6,13,0.9938893352942639
6,14,0.9890708717147954
6,15,0.9915365733783136
6,16,0.9930227568731946
6,17,0.9902675622661392
6,18,0.9984450173515932
6,19,0.9897871958959841
6,20,1.0093834350982795
6,21,1.0251290265840094
6,22,1.029514572657429
6,23,1.0332551296227566
6,24,1.013712887983228
7,5,1.0261809196278846
7,6,1.0427608090886407
7,7,1.0487134242873168
7,8,1.0362405465662439
7,9,1.0012429496097224
7,10,0.9773594855070208
7,11,0.9725009059578837
7,12,0.9736832748603483
7,13,0.9644890488869707
7,14,0.9531265128192723
7,15,0.9505423030512893
7,16,0.9587703598663935
7,17,1.0011033657585107
7,18,1.0283116776472694
7,19,0.9942720157682724
7,20,0.9889249648675531
7,21,0.9927977803542822
7,22,1.0004507964808862
7,23,0.983504350031614
7,24,0.993227979705728
8,5,1.0071229251394775
8,6,1.015109921681351
8,7,0.9872107297848719
8,8,0.9775573226266672
8,9,0.9670377267603719
8,10,0.9693067008214972
8,11,0.9640151121066709
8,12,0.9605912775830631
8,13,0.9477465598788103
8,14,0.9354224056902551
8,15,0.938116452491918
8,16,0.9520810135072012
8,17,0.9797576482882852
8,18,0.9909214966429034
8,19,0.9770480362930088
8,20,0.9710873209090242
8,21,0.9677639495090206
8,22,0.970618236503351
8,23,0.9420703836415154
8,24,0.9232715689095722
9,5,0.986341403139368
9,6,0.9899870513091383
9,7,0.9847468160805154
9,8,0.9667704996348893
9,9,0.9781886835249847
9,10,0.9949283099480611
9,11,0.9945600115568737
9,12,0.996600526443499
9,13,0.9921117127241236
9,14,0.9923131103072437
9,15,0.9964966175377773
9,16,1.0015355719276542
9,17,0.9867938616622592
9,18,0.961526618933934
9,19,0.9846952347318905
9,20,0.9915350116442657
9,21,0.9810335816431963
9,22,0.9827238004106585
9,23,0.9835453016684339
9,24,0.9805028092564796
10,5,1.027745938009556
10,6,0.9982258377423107
10,7,0.9766524682901199
10,8,0.969446238867916
10,9,1.0031760400803762
10,10,1.034213648698603
10,11,1.0356459300766552
10,12,1.0330203221872152
10,13,1.0353315451353788
10,14,1.0354033286006448
10,15,1.03731331460826
10,16,1.0374219957872064
10,17,1.0078160361944688
10,18,0.9764654412506844
10,19,0.9960089601596147
10,20,1.0125425714913736
10,21,0.9929702141708227
10,22,0.9735744762561594
10,23,0.9809113101465
10,24,0.9085123052962615
11,5,1.0266794053606534
11,6,1.0237347075352425
11,7,1.0439424630875929
11,8,1.053930349302842
11,9,1.0535566083201073
11,10,1.023441194396801
11,11,1.0076069201725748
11,12,1.00732645014535
11,13,1.0092695144501191
11,14,1.015260244081264
11,15,1.024301207814013
11,16,1.038439178222388
11,17,1.0531358433540476
11,18,1.0333826219981426
11,19,1.0152674975855998
11,20,1.0065356375879855
11,21,0.99811309454134
11,22,0.9832131525039038
11,23,0.9765766699109185
11,24,1.0032280672141476
12,5,0.9617510158185495
12,6,0.9444332534626639
12,7,0.9465763951373904
12,8,0.9671267433672222
12,9,0.9760126164153483
12,10,1.0088990194015581
12,11,1.0358143076746695
12,12,1.0343123334858235
12,13,1.0385867140775367
12,14,1.0657375018307642
12,15,1.0703306181516823
12,16,1.0674019960173644
12,17,1.0385215199920383
12,18,0.9826107608786014
12,19,0.993884615605533
12,20,1.0266861924514326
12,21,1.045453673579841
12,22,1.0518786644475426
12,23,1.073917113955734
12,24,1.2012934893953844
