month,hour,factor
1,5,0.9387044497826462
1,6,0.9355358765006243
1,7,0.9330901999057909
1,8,0.9745018249448438
1,9,0.9613727732444103
1,10,0.9370881558192982
1,11,0.951741239509906
1,12,0.9662108034770217
1,13,0.9750736728911878
1,14,0.9796383993864476
1,15,0.96886718641451
1,16,0.9476576113409776
1,17,0.9606564760392728
1,18,0.9941531274244326
1,19,0.9880179242837916
1,20,0.9563222295469584
1,21,0.9483636659730513
1,22,0.9514741059220433
1,23,0.9575167522021484
1,24,0.9552372862674292
2,5,0.9363855164730414
2,6,0.9354683895722445
2,7,0.941972557658771
2,8,0.9829404160660967
2,9,0.9811439033539222
2,10,0.9736986280469799
2,11,0.9907061614079641
2,12,1.0007989425975354
2,13,1.0055554438906977
2,14,1.0107377804992705
2,15,0.9982705430766444
2,16,0.9739809364737844
2,17,0.9760427100575504
2,18,1.0045439709101476
2,19,1.0138914980918559
2,20,0.9856932806228942
2,21,0.9774329447940049
2,22,0.9770455313538577
2,23,0.9859084072034489
2,24,0.9906460069489776
3,5,0.9827348137593989
3,6,0.9938059374408538
3,7,1.0386657784467528
3,8,1.0346744060384092
3,9,1.0264111258841597
3,10,1.0183998793841877
3,11,1.008929895843502
3,12,1.001525681831754
3,13,1.0026865188742284
3,14,1.006271880579325
3,15,1.009758426624141
3,16,1.014960927747741
3,17,1.0058741668334823
3,18,1.0192727514693405
3,19,1.0310349492860469
3,20,1.0115316884958345
3,21,1.0096415194295594
3,22,1.0133243322684375
3,23,1.006761936327417
3,24,0.9828368818768741
4,5,1.0093818280469655
4,6,1.0379460704629955
4,7,1.0616785279137295
4,8,1.049926367969353
4,9,1.0400364417141033
4,10,1.026266250994833
4,11,1.009713657907622
4,12,1.0050569193520564
4,13,1.0068906192277414
4,14,0.9979735340358781
4,15,1.0006352148160709
4,16,1.002827543801291
4,17,1.0078689895220323
4,18,1.0255874666248217
4,19,1.0302483606575517
4,20,1.0255959647441932
4,21,1.0274894770101413
4,22,1.0251302292642819
4,23,1.0206606744358633
4,24,1.0206255291674857
5,5,1.0330413838951449
5,6,1.0212804088834657
5,7,0.993726542190152
5,8,0.976436956620297
5,9,1.0025839594809949
5,10,1.0296084331330724
5,11,1.028525776712244
5,12,1.028135443919806
5,13,1.0322143071224164
5,14,1.0243647516958485
5,15,1.017983644515533
5,16,1.0140644493987954
5,17,0.991983580744226
5,18,0.9747140173294528
5,19,0.9902603403573876
5,20,1.0183381170006398
5,21,1.0313930979234225
5,22,1.0367458252575483
5,23,1.0519553595801123
5,24,1.0435297883687795
6,5,1.0612760565520845
6,6,1.0507357876771481
6,7,1.0355953355820375
6,8,1.0133509217372916
6,9,1.008750200801761
6,10,1.009109962426442
6,11,1.0041336064593849
6,12,0.995336862828661
6,13,0.9923545155343289
6,14,0.9872232842694906
6,15,0.9904766125234908
6,16,0.9937265180627726
6,17,0.9909260415919134
6,18,0.9987916541143493
6,19,0.9903497213404844
6,20,1.0078802255831478
6,21,1.0249313398607032
6,22,1.0300743804769064
6,23,1.0338373668166638
6,24,1.0173926757037655
7,5,1.0267614804744734
7,6,1.0406900069839065
7,7,1.052051899607949
7,8,1.0391134767450343
7,9,1.0059972399022263
7,10,0.9758608609598749
7,11,0.9705114154433698
7,12,0.9728115223750223
7,13,0.9640473588772849
7,14,0.9536070685129371
7,15,0.9508123676766301
7,16,0.9586412321326739
7,17,0.9966513522669216
7,18,1.0256642390945303
7,19,0.9977802672793179
7,20,0.9894681698776512
7,21,0.992873638844822
7,22,1.0012470097627366
7,23,0.984406333282185
7,24,0.9919159147425465
8,5,1.010738279680191
8,6,1.0182124265199821
8,7,0.9959599497711619
8,8,0.979692972785667
8,9,0.9667860134487691
8,10,0.9667453477949262
8,11,0.9630798525567911
8,12,0.9612229397119125
8,13,0.9485027954720047
8,14,0.9377366847458803
8,15,0.9405096693262345
8,16,0.9544584640892992
8,17,0.9800641610468832
8,18,0.9921398521918097
8,19,0.9768802764509757
8,20,0.9750490069925953
8,21,0.9711451531357703
8,22,0.9732970767455806
8,23,0.9433796342403941
8,24,0.9200041316738283
9,5,0.9877203325362849
9,6,0.9896125444599695
9,7,0.9862825530458088
9,8,0.9684173177631854
9,9,0.976577014887527
9,10,0.9963049979262164
9,11,0.9938826576975821
9,12,0.9955733601641131
9,13,0.9925956953309613
9,14,0.9919336966032378
9,15,0.9964783202865709
9,16,1.001862813031764
9,17,0.9899957671489016
9,18,0.9650344052862675
9,19,0.984074050348706
9,20,0.9943291247822909
9,21,0.9843749266666938
9,22,0.9839769609217381
9,23,0.9844322762918637
9,24,0.9771610630231757
10,5,1.0267545147593415
10,6,1.0035547417892492
10,7,0.9772472282552419
10,8,0.9674628368305233
10,9,0.9987530639262158
10,10,1.03291158128029
10,11,1.0364176438727701
10,12,1.033207487848901
10,13,1.035655303516791
10,14,1.035505353634242
10,15,1.0361292600812924
10,16,1.0366299567502564
10,17,1.0098265086393075
10,18,0.9787171422423776
10,19,0.9931453543856907
10,20,1.0115832399343496
10,21,0.9956793155859484
10,22,0.9754705444544792
10,23,0.981801779709505
10,24,0.9135200692465488
11,5,1.023096865892586
11,6,1.0242661303505987
11,7,1.039771078200294
11,8,1.051138498215069
11,9,1.057221226366597
11,10,1.0281362745013174
11,11,1.0066937417774804
11,12,1.004970557287886
11,13,1.007932726249803
11,14,1.012408407387455
11,15,1.0210140963900134
11,16,1.0330802795816352
11,17,1.0479119961909558
11,18,1.0341499779761327
11,19,1.0181855632174355
11,20,1.0046330280769789
11,21,0.996099675807904
11,22,0.9830154884804658
11,23,0.9772074000704867
11,24,1.0041432587748162
12,5,0.9604799532557486
12,6,0.9469410807759746
12,7,0.9450663872274045
12,8,0.9651668131710109
12,9,0.9758394577146855
12,10,1.0057073634652716
12,11,1.0355052730848253
12,12,1.0353847291188805
12,13,1.0371326610738223
12,14,1.0633504001749192
12,15,1.0693852307206198
12,16,1.0671480808013594
12,17,1.0418893146929857
12,18,0.9888656226440209
12,19,0.9882635375614296
12,20,1.019727756973789
12,21,1.0401807143062396
12,22,1.0484147875466712
12,23,1.0718634686107071
12,24,1.187028614486479
