month,hour,factor
1,5,0.9066835939038072
1,6,0.8977024192359869
1,7,0.9014862469329606
1,8,0.9456137592080323
1,9,0.9314474606918218
1,10,0.8923302988930879
1,11,0.9028286293936124
1,12,0.9174169075411662
1,13,0.9250414789732508
1,14,0.928548001374965
1,15,0.9187392411949862
1,16,0.8991180409937719
1,17,0.9159766290317474
1,18,0.9561631446419478
1,19,0.9557412750268912
1,20,0.9195092824803938
1,21,0.9116698540755059
1,22,0.9128379938593599
1,23,0.9184456193196167
1,24,0.915052088215164
2,5,0.9281697815785794
2,6,0.9202226822073408
2,7,0.928696184572746
2,8,0.9722329545265265
2,9,0.9714774514654327
2,10,0.9555187677604224
2,11,0.9706395327691469
2,12,0.9839778001562617
2,13,0.9870744092290835
2,14,0.9908414413990362
2,15,0.9784401112577216
2,16,0.9537616295391634
2,17,0.9570070407676
2,18,0.9889851273388884
2,19,1.00270652137777
2,20,0.9744681896076571
2,21,0.9657219872178266
2,22,0.9642218051830963
2,23,0.9721864818717156
2,24,0.9795337253411339
3,5,0.9974495033256559
3,6,1.0042529489401923
3,7,1.0513081631852024
3,8,1.0491691263143235
3,9,1.0407717700958632
3,10,1.041487378148588
3,11,1.0291445328898337
3,12,1.0211714431671084
3,13,1.0209673886170743
3,14,1.023928359123016
3,15,1.0262432325088977
3,16,1.0324176542903958
3,17,1.023697473818908
3,18,1.0342637374710935
3,19,1.0491465426052964
3,20,1.031795771421842
3,21,1.0292890107487167
3,22,1.0351504438167443
3,23,1.0291679585064473
3,24,1.0098630242843523
4,5,1.0283789602522624
4,6,1.055105715859298
4,7,1.0800963385011093
4,8,1.0681605226125068
4,9,1.0599209596774486
4,10,1.0575674981062608
4,11,1.040607422912024
4,12,1.034327277834305
4,13,1.0369768522573293
4,14,1.028582465307438
4,15,1.0299657096810535
4,16,1.0314261059149505
4,17,1.0315424115301828
4,18,1.045903292901727
4,19,1.0529593712979592
4,20,1.0526678790750574
4,21,1.0527023400718452
4,22,1.0519598444994265
4,23,1.048779678213363
4,24,1.0543950683278471
5,5,1.0346671271755359
5,6,1.0300166898439538
5,7,1.007995998219552
5,8,0.9875435969147471
5,9,1.0079399804474334
5,10,1.0387434128866893
5,11,1.037174733231602
5,12,1.0343091992639282
5,13,1.0389293584030543
5,14,1.0322977458655902
5,15,1.0264364172705611
5,16,1.023199295280628
5,17,1.004079327290468
5,18,0.9855545276586264
5,19,0.9960487673125221
5,20,1.025256176527905
